Word,Frequency Rank,Zipf Frequency,Definition
offing,173,2.61,"(verb) To kill.; To switch off. | (noun) The area of the sea in which a ship can be seen in the distance from land, excluding the parts nearest the shore, and beyond the anchoring ground.; The distance that a ship at sea keeps away from land, often because of navigational dangers, fog and other hazards; a position at a distance from shore."
offing.,174,2.61,"That part of the sea at a good distance from the shore, or where there is deep water and no need of a pilot; also, distance from the shore; as, the ship had ten miles offing; we saw a ship in the offing."
opprobrium,373,2.11,"Disgrace; infamy; reproach mingled with contempt; abusive language. Being both dramatic author and dramatic performer, he found himself heir to a twofold opprobrium. De Quincey."
ornery,279,2.33,
ornery.,280,2.33,
ostentation,372,2.12,"1. The act of ostentating or of making an ambitious display; unnecessary show; pretentious parade; -- usually in a detractive sense. ""Much ostentation vain of fleshly arm."" Milton. He knew that good and bountiful minds were sometimes inclined to ostentation. Atterbury. 2. A show or spectacle. [Obs.] Shak. Syn. -- Parade; pageantry; show; pomp; pompousness; vaunting; boasting. See Parade."
ostentatious,154,2.68,"Fond of, or evincing, ostentation; unduly conspicuous; pretentious; boastful. Far from being ostentatious of the good you do. Dryden. The ostentatious professions of many years. Macaulay. -- Os`ten*ta""tious*ly, adv. -- Os`ten*ta""tious*ness, n."
ostentatiously,367,2.13,
palatial,175,2.61,"Of or pertaining to a palace; suitable for a palace; resembling a palace; royal; magnificent; as, palatial structures. ""Palatial style."" A. Drummond.

Palatal; palatine. [Obs.] Barrow.

A palatal letter. [Obs.] Sir W. Jones."
palimony,526,1.42,
pallid,262,2.38,"(adjective) Appearing weak, pale or wan."
pallor,356,2.16,(noun) Paleness; want of color; pallidity; wanness.
panegyric,415,2.0,(noun) A formal speech or opus publicly praising someone or something.; Someone who writes or delivers such a speech. | (adjective) Panegyrical
pantomime.,63,3.0,"1. A universal mimic; an actor who assumes many parts; also, any actor. [Obs.] 2. One who acts his part by gesticulation or dumb show only, without speaking; a pantomimist. [He] saw a pantomime perform so well that he could follow the performance from the action alone. Tylor. 3. A dramatic representation by actors who use only dumb show; hence, dumb show, generally. 4. A dramatic and spectacular entertainment of which dumb acting as well as burlesque dialogue, music, and dancing by Clown, Harlequin, etc., are features.

Representing only in mute actions; pantomimic; as, a pantomime dance."
pap.,31,3.28,"1. (Anat.)  A nipple; a mammilla; a teat. Dryden. The paps which thou hast sucked. Luke xi. 27. 2. A rounded, nipplelike hill or peak; anything resembling a nipple in shape; a mamelon. Macaulay.

1. A soft food for infants, made of bread boiled or softtened in milk or water. 2. Nourishment or support from official patronage; as, treasury pap. [Colloq. & Contemptuous] 3. The pulp of fruit. Ainsworth.

To feed with pap. Beau. & Fl."
paragons,384,2.09,"(noun) A person of preeminent qualities, who acts as a pattern or model for others.; A companion; a match; an equal."
parapet,132,2.74,(noun) A low protective wall.; Part of a perimeter that extends above the roof.
parataxic,100000,0,
parochial,57,3.05,(adjective) Pertaining to a parish.; Characterized by an unsophisticated focus on local concerns to the exclusion of wider contexts; elementary in scope or outlook.
paroxysm,468,1.75,(noun) A random or sudden outburst (of activity).; An explosive event during a volcanic eruption.
paroxysms,469,1.75,(noun) A random or sudden outburst (of activity).; An explosive event during a volcanic eruption.
patronage,21,3.45,(noun) The act of providing approval and support; backing; championship.; Customers collectively; clientele; business. | (verb) To support by being a patron of.; To be a regular customer or client of; to patronize
pauper,117,2.78,(noun) One who is extremely poor.; One living on or eligible for public charity.
pedantry,304,2.29,(noun) An excessive attention to detail or rules.; An overly ambitious display of learning.
pelagic,176,2.61,"Of or pertaining to the ocean; -- applied especially to animals that live at the surface of the ocean, away from the coast."
penny-ante,34,3.26,
perambulations,555,1.16,
perdition,225,2.46,"1. Entire loss; utter destruction; ruin; esp., the utter loss of the soul, or of final happiness in a future state; future misery or eternal death. The mere perdition of the Turkish fleet. Shak. If we reject the truth, we seal our own perdition. J. M. Mason. 2. Loss of diminution. [Obs.] Shak."
perfunctory,228,2.45,"1. Done merely to get rid of a duty; performed mechanically and as a thing of rote; done in a careless and superficial manner; characterized by indifference; as, perfunctory admonitions. Macaulay. 2. Hence: Mechanical; indifferent; listless; careless. ""Perfunctory in his devotions."" Sharp."
pernicious,88,2.87,(adjective) Causing much harm in a subtle way.; Causing death or injury; deadly.
personage,263,2.38,"1. Form, appearance, or belongings of a person; the external appearance, stature, figure, air, and the like, of a person. ""In personage stately."" Hayward. The damsel well did view his personage. Spenser. 2. Character assumed or represented. ""The actors and personages of this fable."" Broome. ""Disguised in a false personage."" Addison. 3. A notable or distinguished person; a conspicious or peculiar character; as, an illustrious personage; a comely personage of stature tall. Spenser."
pestilent,441,1.89,(adjective) Highly injurious or destructive to life: deadly.; Annoying.
phalanx,96,2.85,(noun) (plural phalanxes) An ancient Greek and Macedonian military unit that consisted of several ranks and files (lines) of soldiers in close array with joined shields and long spears.; (historical sociology) A Fourierite utopian community; a phalanstery.
phraseology,327,2.22,(noun) Study of set or fixed expressions.; The style in which words and phrases are used in writing or speech.
physiognomy,380,2.1,"(noun) The art or pseudoscience of deducing the predominant temper and other characteristic qualities of the mind from the outward appearance, especially from the features of the face.; The face or countenance, with respect to the temper of the mind; particular configuration, cast, or expression of countenance, as denoting character."
pique,78,2.93,"(noun) A feeling of enmity; ill-feeling, animosity; a transient feeling of wounded pride.; A feeling of irritation or resentment, awakened by a social slight or injury; offence, especially taken in an emotional sense with little thought or consideration. | (verb) To wound the pride of; to excite to anger.; To take pride in; to pride oneself on. | (noun) In piquet, the right of the elder hand to count thirty in hand, or to play before the adversary counts one. | (verb) To score a pique against. | (noun) A chigger or jigger, Tunga penetrans. | (noun) A durable ribbed fabric made from cotton, rayon, or silk."
plaited,374,2.11,(verb) To fold; to double in narrow folds; to pleat; To interweave the strands or locks of; to braid
planisphere,531,1.36,"(noun) Any representation of part of a sphere on a plane surface; Any of several charts of the celestial sphere having an overlay or window that may be adjusted to show the stars visible at a particular time, or from a particular place"
plexus,114,2.79,"(noun) A network or interwoven mass, especially of nerves, blood vessels, or lymphatic vessels.; The system of equations required for the complete expression of the relations which exist between a set of quantities."
plinth,178,2.6,"(noun) A block or slab upon which a column, pedestal, statue or other structure is based.; The bottom course of stones or bricks supporting a wall."
pogroms,217,2.49,"(noun) A riot aimed at persecution or massacre of a particular ethnic or religious group, usually Jews.; An antisemitic hate crime with a large death toll, irrespective of the number of perpetrators."
pontificating,368,2.13,"(verb) To preside as a bishop, especially at mass.; To act like a pontiff; to express one's position or opinions dogmatically and pompously as if they were absolutely correct."
portentous,364,2.14,(adjective) Of momentous or ominous significance.; Ominously prophetic.
portents,369,2.13,"(noun) Something that portends an event about to occur, especially an unfortunate or evil event; an omen.; A portending; significance"
poultice,345,2.18,"(noun) A soft, moist mass applied topically to a sore, aching or lesioned part of the body to soothe. A poultice is usually wrapped in cloth and often warmed before being applied. | (verb) To treat with a poultice."
preceptors,461,1.79,(noun) A teacher or tutor.; The head of a preceptory of Knights Templar.
precepts,101,2.83,"(noun) A rule or principle, especially one governing personal conduct.; A written command, especially a demand for payment."
precipitately,537,1.31,In a precipitate manner; headlong; hastily; rashly. Swift.
precocious,91,2.86,(adjective) Characterized by exceptionally early development or maturity.; Exhibiting advanced skills and aptitudes at an abnormally early age.
preening,287,2.32,"(verb) To pin; fasten. | (verb) (of birds) To groom; to trim or dress with the beak, as the feathers.; To show off, posture, or smarm. | (noun) A grooming or posturing."
presage,344,2.19,(noun) A warning of a future event; an omen.; An intuition of a future event; a presentiment. | (verb) To predict or foretell something.; To make a prediction.
prig,438,1.9,(noun) A tinker.; A petty thief or pickpocket. | (verb) To filch or steal.; To ride
privation,357,2.16,"(noun) The state of being deprived of or lacking an attribute formerly or properly possessed; the loss or absence of such an attribute.; The state of being very poor, and lacking the basic necessities of life."
privets,100000,0,(noun) Any of various shrubs and small trees in the genus Ligustrum.
progeny,64,3.0,"(noun) Offspring or descendants considered as a group.; Descent, lineage, ancestry."
propitious,320,2.24,(adjective) Favorable; benevolent.; Advantageous.
propriety,115,2.79,(noun) The particular character or essence of someone or something; individuality.; A characteristic; an attribute.
prosaic,179,2.6,(adjective) Pertaining to or having the characteristics of prose.; (of writing or speaking) Straightforward; matter-of-fact; lacking the feeling or elegance of poetry.
proscribed,180,2.6,(verb) To forbid or prohibit.; To denounce.
protectress.,498,1.58,(noun) A female protector.
province,7,4.47,"(noun) A region of the earth or of a continent; a district or country.; An administrative subdivision of certain countries, including Canada and China."
prudence,49,3.08,"(noun) The quality or state of being prudent; wisdom in the way of caution and provision; discretion; carefulness; hence, also, economy; frugality."
prurient,351,2.17,"(adjective) Uneasy with desire; itching; especially, having a lascivious anxiety or propensity; lustful.; Arousing or appealing to sexual desire."
ptomaine,532,1.34,(noun) Any of various amines formed by putrefactive bacteria.; Food poisoning.
pulpit,36,3.23,"(noun) A raised platform in a church, usually enclosed, where the minister or preacher stands when giving the sermon.; Activity performed from a church pulpit, in other words, preaching, sermons, religious teaching, the preaching profession, preachers collectively or an individual preaching position; by extension: bully pulpit."
purloined,416,2.0,"(verb) To take the property of another, often in breach of trust; to appropriate wrongfully; to steal.; To commit theft; to thieve."
quiescent,273,2.35,"1. Being in a state of repose; at rest; still; not moving; as, a quiescent body or fluid. 2. Not ruffed with passion; unagitated; not in action; not excited; quiet; dormant; resting. In times of national security, the feeling of patriotism . . . is so quiescent that it seems hardly to exist. Prof. Wilson. 3. (Gram.)  Not sounded; silent; as, y is quiescent in ""day"" and ""say.""

A silent letter. M. Stuart."
quinces,430,1.94,
quixotic,281,2.33,"Like Don Quixote; romantic to extravagance; absurdly chivalric; apt to be deluded. ""Feats of quixotic gallantry."" Prescott."
quotidian,323,2.23,"Occurring or returning daily; as, a quotidian fever.

Anything returning daily; especially (Med.), an intermittent fever or ague which returns every day. Milton."
railroaded,316,2.25,
raison,150,2.69,
rancor,208,2.51,"The deepest malignity or spite; deep-seated enmity or malice; inveterate hatred. ""To stint rancour and dissencioun."" Chaucer. It would not be easy to conceive the passion, rancor, and malice of their tongues and hearts. Burke. Syn. -- Enmity; hatred; ill will; malice; spite; grudge; animosity; malignity. -- Rancor, Enmity. Enmity and rancor both describe hostile feelings; but enmity may be generous and open, while rancor implies personal malice of the worst and most enduring nature, and is the strongest word in our language to express hostile feelings. Rancor will out; proud prelate, in thy face I see thy fury. Shak. Rancor is that degree of malice which preys upon the possessor. Cogan."
rankle,472,1.74,"1. To become, or be, rank; to grow rank or strong; to be inflamed; to fester; -- used literally and figuratively. A malady that burns and rankles inward. Rowe. This would have left a rankling wound in the hearts of the people. Burke. 2. To produce a festering or inflamed effect; to cause a sore; -- used literally and figuratively; as, a splinter rankles in the flesh; the words rankled in his bosom.

To cause to fester; to make sore; to inflame. [R.] Beau. & Fl."
rankling,538,1.31,
rapacious,256,2.39,"1. Given to plunder; disposed or accustomed to seize by violence; seizing by force. "" The downfall of the rapacious and licentious Knights Templar."" Motley. 2. Accustomed to seize food; subsisting on prey, or animals seized by violence,; as, a tiger is a rapacious animal; a rapacious bird. 3. Avaricious; grasping; extortionate; also, greedy; ravenous; voracious; as, rapacious usurers; a rapacious appetite. [Thy Lord] redeem thee from Death's rapacious claim Milton . Syn. -- Greedy; grasping; ravenous; voracious. -- Ra*pa""cious*ly, adv. -- Ra*pa""cious*ness, n."
recalcitrance,473,1.74,
redoubts,417,2.0,
rejoinder,339,2.2,"1. An answer to a reply; or, in general, an answer or reply. 2. (Law)  The defendant's answer to the plaintiff's replication. Syn. -- Reply; ansswer; replication. See Reply.

To make a rejoinder. [Archaic]"
remanding,475,1.73,
remonstrate,456,1.81,"To point out; to show clearly; to make plain or manifest; hence, to prove; to demonstrate. [Obs.] Jer. Taylor. I will remonstrate to you the third door. B. Jonson.

To present and urge reasons in opposition to an act, measure, or any course of proceedings; to expostulate; as, to remonstrate with a person regarding his habits; to remonstrate against proposed taxation. It is proper business of a divine to state cases of conscience, and to remonstrate against any growing corruptions in practice, and especially in principles. Waterland. Syn. -- Expostulate, Remonstrate. These words are commonly interchangeable, the principal difference being that expostulate is now used especially to signify remonstrance by a superior or by one in authority. A son remonstrates against the harshness of a father; a father expostulates with his son on his waywardness. Subjects remonstrate with their rulers; sovereigns expostulate with the parliament or the people."
remonstrated,442,1.89,
repined,100000,0,
replete,81,2.91,"Filled again; completely filled; full; charged; abounding. ""His words replete with guile."" Milton. When he of wine was replet at his feast. Chaucer. In heads repiete with thoughts of other men. Cowper.

To fill completely, or to satiety. [R.]"
repose,130,2.75,"1. To cause to stop or to rest after motion; hence, to deposit; to lay down; to lodge; to reposit. [Obs.] But these thy fortunes let us straight repose In this divine cave's bosom. Chapman. Pebbles reposed in those cliffs amongst the earth . . . are left behind. Woodward. 2. To lay at rest; to cause to be calm or quiet; to compose; to rest, -- often reflexive; as, to repose one's self on a couch. All being settled and reposed, the lord archibishop did present his majesty to the lords and commons. Fuller. After the toil of battle to repose Your wearied virtue. Milton. 3. To place, have, or rest; to set; to intrust. The king reposeth all his confidence in thee. Shak.

1. To lie at rest; to rest. Within a thicket I reposed. Chapman. 2. Figuratively, to remain or abide restfully without anxiety or alarms. It is upon these that the soul may repose. I. Taylor. 3. To lie; to be supported; as, trap reposing on sand. Syn. -- To lie; recline; couch; rest; sleep; settle; lodge; abide.

1. A lying at rest; sleep; rest; quiet. Shake off the golden slumber of repose. Shak. 2. Rest of mind; tranquillity; freedom from uneasiness; also, a composed manner or deportment. 3. (Poetic)  A rest; a pause. 4. (Fine Arts)  That harmony or moderation which affords rest for the eue; -- opposed to the scattering and division of a subject into too many unconnected parts, and also to anything which is overstrained; as, a painting may want repose. Angle of repose (Physics), the inclination of a plane at which a body placed on the plane would remain at rest, or if in motion would roll or side down with uniform velocity; the angle at which the various kinds of earth will stand when abandoned to themselves. Syn. -- Rest; recumbency; reclination; ease; quiet; quietness; tranquillity; peace."
reproach,75,2.94,"1. To come back to, or come home to, as a matter of blame; to bring shame or disgrace upon; to disgrace. [Obs.] I thought your marriage fit; else imputation, For that he knew you, might reproach your life. Shak. 2. To attribute blame to; to allege something disgracefull against; to charge with a fault; to censure severely or contemptuously; to upbraid. If ye be reproached for the name of Christ. 1 Peter iv. 14. That this newcomer, Shame, There sit not, and reproach us as unclean. Milton. Mezentius . . . with his ardor warmed His fainting friends, reproached their shameful flight. Repelled the victors. Dryden. Syn. -- To upbraid; censure; blame; chide; rebuke; condemn; revile; vilify.

1. The act of reproaching; censure mingled with contempt; contumelious or opprobrious language toward any person; abusive reflections; as, severe reproach. No reproaches even, even when pointed and barbed with the sharpest wit, appeared to give him pain. Macaulay. Give not thine heritage to reproach. Joel ii. 17. 2. A cause of blame or censure; shame; disgrace. 3. An object of blame, censure, scorn, or derision. Come, and let us build up the wall of Jerusalem, that we be no more a reproach. Neh. ii. 17. Syn. -- Disrepute; discredit; dishonor; opprobrium; invective; contumely; reviling; abuse; vilification; scurrility; insolence; insult; scorn; contempt; ignominy; shame; scandal;; disgrace; infamy."
reproachful,505,1.54,"1. Expressing or containing reproach; upbraiding; opprobrious; abusive. The reproachful speeches . . . That he hath breathed in my dishonor here. Shak. 2. Occasioning or deserving reproach; shameful; base; as, a reproachful life. Syn. -- Opprobrious; contumelious; abusive; offensive; insulting; contemptuous; scornful; insolent; scurrilous; disreputable; discreditable; dishonorable; shameful; disgraceful; scandalous; base; vile; infamous. -- Re*proach""ful*ly (r, adv. -- Re*proach""ful*ness, n."
reprobated,100000,0,
restive,265,2.37,"Unwilling to go on; obstinate in refusing to move forward; stubborn; drawing back. Restive or resty, drawing back, instead of going forward, as some horses do. E. Philips (1658). The people remarked with awe and wonder that the beasts which were to drag him [Abraham Holmes] to the gallows became restive, and went back. Macaulay. 2. Inactive; sluggish. [Obs.] Sir T. Browne. 3. Impatient under coercion, chastisement, or opposition; refractory. 4. Uneasy; restless; averse to standing still; fidgeting about; -- applied especially to horses. Trench. -- Rest""ive, adv. -- Rest""ive*ness, n."
retinue,165,2.63,"The body of retainers who follow a prince or other distinguished person; a train of attendants; a suite. Others of your insolent retinue. Shak. What followers, what retinue canst thou gain Milton. To have at one's retinue, to keep or employ as a retainer; to retain. [Obs.] Chaucer."
reveille,312,2.26,"The beat of drum, or bugle blast, about break of day, to give notice that it is time for the soldiers to rise, and for the sentinels to forbear challenging. ""Sound a reveille."" Dryden. For at dawning to assail ye Here no bugles sound reveille. Sir W. Scott."
reverie,167,2.62,"1. A loose or irregular train of thought occurring in musing or mediation; deep musing; daydream. ""Rapt in nameless reveries."" Tennyson. When ideas float in our mind without any reflection or regard of the understanding, it is that which the French call revery, our language has scarce a name for it. Locke. 2. An extravagant concient of the fancy; a vision. [R.] There are infinite reveries and numberless extravagancies pass through both [wise and foolish minds]. Addison."
reverie.,168,2.62,"1. A loose or irregular train of thought occurring in musing or mediation; deep musing; daydream. ""Rapt in nameless reveries."" Tennyson. When ideas float in our mind without any reflection or regard of the understanding, it is that which the French call revery, our language has scarce a name for it. Locke. 2. An extravagant concient of the fancy; a vision. [R.] There are infinite reveries and numberless extravagancies pass through both [wise and foolish minds]. Addison."
reveries,394,2.06,"(noun) A state of dreaming while awake; a loose or irregular train of thought; musing or meditation; daydream.; An extravagant conceit of the imagination; a vision. | (noun) A caper, a frolic; merriment."
reviling,513,1.5,(verb) To attack (someone) with abusive language. | (noun) Reproach; abuse; vilification
revue,52,3.07,"(noun) A form of theatrical entertainment in which recent events, popular fads, etc., are parodied. Any entertainment featuring skits, dances, and songs."
rheumatism,169,2.62,"(noun) Any disorder of the muscles, tendons, joints, bones, nerves, characterized by pain, discomfort and disability.; Atrophic arthritis, rheumatoid arthritis"
rheumy,521,1.44,"(adjective) Of, relating to, or producing rheum from the mucous membranes; watery"
rime,213,2.5,(noun) Ice formed by the rapid freezing of cold water droplets of fog on to a cold surface.; A coating or sheet of ice so formed. | (verb) To freeze or congeal into hoarfrost.
ruefully,288,2.32,"(adverb) In a rueful manner; causing, feeling or expressing regret or sorrow."
rutabaga,439,1.9,"(noun) The swede, or Swedish turnip; the European plant Brassica napus var. napobrassica; The edible root of this plant"
saccharin,403,2.04,"(noun) A white, crystalline powder, C7H5NO3S, used as an artificial sweetener in food products"
saccharine,220,2.48,(noun) Sentimentalism | (adjective) Of or relating to sugar.; Excessively sweet in action or disposition; syrupy. | (adjective) Of or relating to saccharin.
sagacity,405,2.03,"(noun) Keen sense of smell.; The quality of being sage, wise, or able to make good decisions; the quality of being perceptive, astute or insightful."
sala,113,2.81,(noun) A large hall or reception room. | (noun) An open pavilion in Thailand used as a meeting place or to shelter from the weather.
sallow,358,2.16,"(verb) To become sallow.; To cause (someone or something) to become sallow. | (adjective) (of skin) Yellowish.; (of a person) Having skin (especially on the face) of a sickly pale colour. | (noun) A European willow, Salix caprea, that has broad leaves, large catkins and tough wood.; A willow twig or branch."
sally,12,3.97,"(noun) A willow; Any tree that looks like a willow | (noun) A sortie of troops from a besieged place against an enemy.; A sudden rushing forth. | (verb) To make a sudden attack (e.g. on an enemy from a defended position).; To set out on an excursion; venture; depart (often followed by ""forth."") | (noun) A member of the Salvation Army. | (noun) A kind of stonefly.; A wren."
salubrious,370,2.13,"(adjective) Promoting health or well-being; wholesome, especially as related to air."
sanguinary,480,1.72,"(noun) A bloodthirsty person.; The plant common yarrow, or herba sanguinaria (Achillea millefolium). | (adjective) (of an event) Involving bloodshed.; (of a person) Eager to shed blood; bloodthirsty."
sardonic,182,2.58,(adjective) Scornfully mocking or cynical.; Disdainfully or ironically humorous.
schlemiel,550,1.25,(noun) A loser or a fool.; A person who is clumsy or who hurts others emotionally.
scintillating,170,2.62,"(verb) To give off sparks; to shine as if emanating sparks; to twinkle or glow.; To throw off like sparks. | (adjective) That scintillates with brief flashes of light; sparkling.; Brilliantly or impressively clever, exciting, amusing or witty."
scion,61,3.03,"(noun) A descendant, especially a first-generation descendant of a distinguished family.; The heir to a throne."
sedulous,100000,0,(adjective) Of a person: diligent in application or pursuit; constant and persevering in business or in endeavours to effect a goal; steadily industrious.; Of an activity: carried out with diligence.
septic,39,3.21,"(noun) A substance that causes sepsis or putrefaction.; A septic tank; a system for the disposal of sewage into a septic tank, a septic system. | (adjective) Of or pertaining to sepsis.; Causing sepsis or putrefaction."
sepulchre,155,2.68,"(noun) A burial chamber.; A recess in some early churches in which the reserved sacrament, etc. were kept from Good Friday till Easter. | (verb) To place in a sepulchre."
sestertius,552,1.23,"(noun) A large bronze or (rarely) small silver coin minted during the Roman Republic and Empire, valued at two and a half asses (a quarter of a denarius)."
sexpot,487,1.7,(noun) A sexy person.
shambling,385,2.09,"(verb) To walk while shuffling or dragging the feet. | (noun) An awkward, irregular gait. | (adjective) Who walks while dragging or shuffling the feet."
shiplap,509,1.53,(noun) A type of wooden board that has rabbets to allow them to be overlapped.
shoats,100000,0,"(noun) A young, newly-weaned pig. | (noun) A geep, a sheep-goat hybrid (whether artificially produced or the result of animals from these species naturally intermating)."
sibilantly,100000,0,
sidles,510,1.53,"(noun) An act of sidling. | (verb) To (cause something to) move sideways.; In the intransitive sense often followed by up: to (cause something to) advance in a coy, furtive, or unobtrusive manner."
slaked,463,1.78,"(verb) To satisfy (thirst, or other desires).; To cool (something) with water or another liquid. | (verb) To besmear. | (adjective) Allayed; quenched; extinguished; Mixed with water so that a true chemical combination has taken place"
slewed,533,1.33,(verb) To rotate or turn something about its axis.; To veer a vehicle. | (adjective) Somewhat drunk; tipsy.
slough,54,3.06,"(noun) The skin shed by a snake or other reptile.; Dead skin on a sore or ulcer. | (verb) To shed (skin).; To slide off (like a layer of skin). | (noun) A muddy or marshy area.; (Eastern United States) A type of swamp or shallow lake system, typically formed as or by the backwater of a larger waterway, similar to a bayou with trees."
sluices,418,2.0,"(noun) An artificial passage for water, fitted with a valve or gate, for example in a canal lock or a mill stream, for stopping or regulating the flow.; A water gate or floodgate."
solar plexus,118,2.78,
solemnizing,563,1.1,"(verb) To make solemn, or official, through ceremony or legal act.; To make grave, serious, and reverential."
solicitude,436,1.91,(noun) The state of being solicitous; uneasiness of mind occasioned by fear of evil or desire for good; anxiety.; Special or pronounced concern or attention.
soliloquy,229,2.45,(noun) The act of a character speaking to themselves so as to reveal their thoughts to the audience.; (authorship) A speech or written discourse in this form. | (verb) (very rare) To issue a soliloquy.
somnolence,452,1.83,Sleepiness; drowsiness; inclination to sleep.
soothsayer,340,2.2,"(noun) One who tells the truth; a truthful person; One who predicts the future, using magic, intuition or intelligence; a diviner"
sophisms,100000,0,"(noun) A method of teaching using the techniques of philosophy and rhetoric.; A flawed argument, superficially correct in its reasoning, usually designed to deceive."
"soporific,",381,2.1,"(noun) Something inducing sleep, especially a drug.; Something boring or dull. | (adjective) (pharmaceutical effect) Tending to induce sleep.; Boring, dull."
sordid,67,2.99,"(adjective) Distasteful, ignoble, vile, or contemptible.; Dirty or squalid."
souse,476,1.73,"(noun) Something kept or steeped in brine; The act of sousing; a plunging into water. | (verb) To immerse in liquid; to steep or drench.; To steep in brine; to pickle. | (noun) The act of sousing, or swooping.; A heavy blow. | (verb) To strike, beat.; To fall heavily. | (noun) A sou (the French coin).; A small amount."
spading,561,1.11,"(verb) To turn over soil with a spade to loosen the ground for planting. | (noun) The act by which soil is spaded, or turned over by digging."
spumoni,544,1.29,
stenographers,445,1.85,
stolid,412,2.01,Hopelessly insensible or stupid; not easily aroused or excited; dull; impassive; foolish.
strychnine,271,2.36,"A very poisonous alkaloid resembling brucine, obtained from various species of plants, especially from species of Loganiaceæ, as from the seeds of the St. Ignatius bean (Strychnos Ignatia) and from nux vomica. It is obtained as a white crystalline substance, having a very bitter acrid taste, and is employed in medicine (chiefly in the form of the sulphate) as a powerful neurotic stimulant. Called also strychnia, and formerly strychnina."
succour,299,2.3,
sullen,142,2.71,"1. Lonely; solitary; desolate. [Obs.] Wyclif (Job iii. 14). 2. Gloomy; dismal; foreboding. Milton. Solemn hymns so sullen dirges change. Shak. 3. Mischievous; malignant; unpropitious. Such sullen planets at my birth did shine. Dryden. 4. Gloomily angry and silent; cross; sour; affected with ill humor; morose. And sullen I forsook the imperfect feast. Prior. 5. Obstinate; intractable. Things are as sullen as we are. Tillotson. 6. Heavy; dull; sluggish. ""The larger stream was placid, and even sullen, in its course."" Sir W. Scott. Syn. -- Sulky; sour; cross; ill-natured; morose; peevish; fretful; ill- humored; petulant; gloomy; malign; intractable. -- Sullen, Sulky. Both sullen and sulky show themselves in the demeanor. Sullenness seems to be an habitual sulkiness, and sulkiness a temporary sullenness. The former may be an innate disposition; the latter, a disposition occasioned by recent injury. Thus we are in a sullen mood, and in a sulky fit. No cheerful breeze this sullen region knows; The dreaded east is all the wind that blows. Pope. -- Sul""len*ly, adv. -- Sul""len*ness, n.

1. One who is solitary, or lives alone; a hermit. [Obs.] Piers Plowman. 2. pl.  Sullen feelings or manners; sulks; moroseness; as, to have the sullens. [Obs.] Shak.

To make sullen or sluggish. [Obs.] Sullens the whole body with . . . laziness. Feltham."
superciliously,100000,0,
supine,238,2.42,"(noun) (grammar) In Latin and other languages: a type of verbal noun used in the ablative and accusative cases, which shares the same stem as the passive participle.; (grammar) In Swedish: a verb form that combines with an inflection of ha to form the present perfect and pluperfect tenses. | (adjective) Lying on its back.; Reluctant to take action due to indifference or moral weakness; apathetic or passive towards something."
supplicated,548,1.26,(verb) To humble oneself before (another) in making a request; to beg or beseech.; To entreat for; to ask for earnestly and humbly.
supplication,214,2.5,(noun) An act of supplicating; a humble request.; A prayer or entreaty to a god.
suppositions,395,2.06,"(noun) Something that is supposed; an assumption made to account for known facts, conjecture.; The act or an instance of supposing."
surly,97,2.85,"(adjective) Irritated, bad-tempered, unfriendly.; Threatening, menacing, gloomy. | (adverb) In an arrogant or supercilious manner."
surrey,14,3.77,"(noun) A light horse-drawn carriage with forward-facing seats accommodating two or four people, popular in the United States; a motorized carriage of similar design."
swarthy,352,2.17,"(noun) A swarthy person. | (adjective) Tawny, dusky, dark.; Dark-skinned."
swither,100000,0,(noun) A state of indecision or confusion. | (verb) To be indecisive or in a state of confusion; to dither.
swithered.,100000,0,
sylvan,116,2.79,"(noun) One who resides in the woods.; A fabled deity of the wood; a faun, a satyr. | (adjective) Pertaining to the forest, or woodlands.; Residing in a forest or wood."
taciturn,266,2.37,(adjective) Silent; temperamentally untalkative; disinclined to speak.
tact,50,3.08,"(noun) The sense of touch; feeling.; The stroke in beating time. | (verb) To use a tact (a kind of verbal operant; see noun sense). | (noun) A maneuver, or action calculated to achieve some end.; A maneuver used against an enemy."
"tarpaulins,",421,1.99,
tawny,122,2.77,"(noun) A light brown to brownish orange colour. | (adjective) Of a light brown to brownish orange color.; A sweet, fortified wine which is blended and matured in wood."
tempest,30,3.29,"(noun) A storm, especially one with severe winds.; Any violent tumult or commotion. | (verb) To storm.; To disturb, as by a tempest."
terse,156,2.67,"(adjective) (by extension) Of speech or style: brief, concise, to the point.; (by extension) Of manner or speech: abruptly or brusquely short; curt."
theosophy,317,2.25,"(noun) Any doctrine of religious philosophy and mysticism claiming that knowledge of God can be attained through mystical insight and spiritual ecstasy, and that direct communication with the transcendent world is possible.; Any system which claims to attain communication with God and superior spirits by physical processes."
threadbare,234,2.43,"(adjective) (of cloth) shabby, frayed and worn to an extent that warp threads show; Damaged or shabby"
timorous,457,1.81,(adjective) Fearful; afraid; timid
tony,4,4.64,"(adjective) Stylish, high-toned, upscale."
torpid,477,1.73,"(noun) (Oxford University slang) An inferior racing boat, or one who rows in such a boat. | (adjective) Unmoving; Dormant or hibernating"
torpidly,100000,0,In a torpid manner.
torpor,267,2.37,(noun) A state of being inactive or stuporous.; A state of apathy or lethargy.
tractable,336,2.21,"(adjective) (of people) Capable of being easily led, taught, or managed.; (of a problem) Easy to deal with or manage"
